,100,101,102,103,104,106,107,108,109,110,112,113,114,115,116
100,20,7,10,1,4,5,0,1,3,2,1,3,0,4,1
101,6,83,24,9,9,3,3,16,5,12,22,15,1,7,6
102,11,25,145,20,4,1,7,11,13,8,10,12,0,3,12
103,4,5,20,141,4,3,2,2,8,4,2,13,0,2,8
104,1,6,7,3,111,13,13,8,72,3,7,18,4,10,5
106,0,3,5,0,14,68,2,2,11,2,7,5,0,8,1
107,2,5,6,7,10,8,130,5,23,5,13,12,0,5,4
108,2,18,16,6,11,5,6,99,9,2,7,1,0,3,6
109,1,2,11,1,55,9,23,16,145,9,10,7,0,8,20
110,3,9,8,4,3,0,8,5,12,97,7,55,0,4,7
112,2,21,13,7,12,4,14,6,7,4,77,14,0,13,2
113,4,12,12,5,14,6,12,10,12,57,13,119,0,11,2
114,0,0,0,1,8,0,0,0,1,0,1,0,0,0,0
115,3,10,6,4,15,6,5,3,13,2,13,5,0,70,1
116,3,4,13,17,3,3,9,1,18,11,1,3,0,4,101
