label,rank,feature,weight
104,4,企业,0.938252397375023
104,5,价格,0.9094670437600679
104,6,创新,0.8749995787095369
104,7,行情,0.8735839447778502
104,8,品牌,0.8675157778978179
104,9,证监会,0.86565084049593
104,10,产业,0.8473126623624159
104,11,市场,0.8272072080989947
104,12,资本,0.799296696044868
104,13, 可以,0.7820827904270421
104,14,银行,0.7805607920688807
104,15,生意,0.7750802745419306
106,1,房价,2.1124649305285037
106,2,买房,1.7545455532242715
106,3,买房,1.7519724551319118
106,4,房子,1.5562186223870538
106,5,房价,1.4834685245073544
106,6, 房,1.2645659735928512
106,7,房 ,1.2535178123886974
106,8,楼市,1.085732089418736
106,9,租房,1.082096347455318
106,10,二手房,1.080751847496831
106,11,的房,1.0701192930172692
106,12,限购,1.0540839894513188
106,13,房子,1.0373469233043724
106,14,无锡,1.032574979230215
106,15,土地,0.9902653888154042
107,1,汽车,1.7015901799396602
107,2,汽车,1.5737385641739943
107,3,的车,1.470345923555804
107,4,新车,1.2967421341688607
107,5,爱车,1.2647772056777289
107,6,车主,1.26030953336463
107,7,开车,1.258381315743806
107,8,车牌,1.2561741136070006
107,9,买车,1.2309079476681808
107,10,suv,1.1790541534503534
107,11,车 ,1.0995661518665265
107,12,奥迪,1.081465651764938
107,13,大众,1.0735833406208501
107,14,车的,1.073041424294387
107,15,改装,1.0018130102648772
108,1,大学,1.8463257777341504
108,2,学生,1.558718297525828
108,3,高考,1.493104192174322
108,4,学习,1.379507694798367
108,5,教师,1.3754292076476629
108,6,老师,1.2804972955505955
108,7,教育,1.2782175652445606
108,8,学校,1.2594921776941725
108,9,学校,1.2415142394048804
108,10,大学,1.2279503821799378
108,11,高考,1.2125334381274238
108,12,家长,1.177372134697614
108,13,招生,1.1593135147731084
108,14,读书,1.1344987764629577
108,15,数学,1.1089668112065725
109,1,手机,2.2208463188827343
109,2,手机,1.8556735486166829
109,3,联想,1.6029241590772607
109,4,小米,1.516803847697816
109,5,华为,1.365166495036573
109,6,滴滴,1.298127176865561
109,7,淘宝,1.1202211465967677
109,8,京东,1.0403595012102262
109,9,苹果,1.0126020313498358
109,10,电商,0.9712457754740992
109,11,5g,0.9391407267747258
109,12,马云,0.9299227161345704
109,13,共享,0.9173974239425498
109,14,vivo,0.9077153585117577
109,15,支付宝,0.9067669962154167
110,1,航母,1.8517399446344371
110,2,军队,1.3622529386847828
110,3,战机,1.219995866393876
110,4,航母,1.1935652582149332
110,5,武器,1.162569853265281
110,6,士兵,1.0989449714372137
110,7,武器,1.0957346881881205
110,8,部队,1.0762650616436047
110,9,作战,1.045620604349662
110,10,军队,1.0125521113814198
110,11,战斗机,1.0076960375813935
110,12,海军,0.9927769270699065
110,13,军人,0.9926192961709661
110,14,战机,0.9701232596517843
110,15,海军,0.9526987906038533
112,1,旅游,2.2190320288925163
112,2,旅行,1.5970602924509736
112,3,旅游,1.4944489868356419
112,4,三亚,1.0880030484016363
112,5,美景,1.0476430743904572
112,6,旅行,1.0049211462921985
112,7,酒店,0.9892024830927645
112,8,游玩,0.9409456359079701
112,9,大理,0.9251270831713867
112,10,地方,0.9122621362832835
112,11,自驾游 什么,0.9018597297840335
112,12,烧香,0.8408375601909212
112,13,西藏,0.8316237730123426
112,14,远行,0.8173904530644466
112,15,之旅,0.8166215996587082
113,1,泰国,1.616241553549572
113,2,美国,1.2871445978978588
113,3,法国,1.2135781250946336
113,4,印度,1.180714136555314
113,5,总统,1.1509577481329485
113,6,普京,1.072292467974744
113,7,总统,1.069103414575522
113,8,特朗普,1.057966936941198
113,9,泰国,1.0565667354983557
113,10,日本,1.044860236207802
113,11,荷兰,1.014210393297851
113,12,石油,0.8293972637119031
113,13,美国,0.7859300282635296
113,14,食品,0.7735207647573284
113,15,俄罗斯,0.771375743413101
114,1,股票,1.35609112666882
114,2,炒股,1.008368708935174
114,3,股会,0.9104887218503211
114,4,A股,0.7918258424067949
114,5,股票,0.7858117439297525
114,6,指跌 点会,0.7682009117259075
114,7,指跌,0.7682009117259075
114,8,三板,0.7227592061030895
114,9,哪些 大型,0.7106433798433177
114,10,大型 企业,0.7106433798433177
114,11,业绩,0.7103687212330789
114,12,盘 ,0.6897622560202141
114,13,股领,0.6878297363282009
114,14,短期内,0.6786856886613571
114,15,多少 三板,0.6743173954035337
115,1,农村,2.750119865223277
115,2,农村,2.1127259131669893
115,3,种植,1.5310335637619585
115,4,村 ,1.2472777665334454
115,5,农民,1.2009617570598026
115,6,养殖,1.1215596194804014
115,7,为什么 猪奶,1.0589385742939605
115,8,脱贫,1.0488256755690606
115,9,农业,1.0354013468630408
115,10,农业,1.0324053495925505
115,11,小麦,1.0123352261595646
115,12,的农,1.0015233722571295
115,13,乡村,0.9952482288211613
115,14,种植,0.9706942174017447
115,15,农民,0.9366978857033472
116,1,游戏,2.46688582012879
116,2,游戏,1.7343352404768748
116,3,玩家,1.6545396623450908
116,4,dnf,1.6541882070316645
116,5,手游,1.2885404894121284
116,6,lol,1.230596894471333
116,7,手游,1.2182098328144948
116,8,王者,1.1321014246633923
116,9,玩家,1.1062215892529565
116,10,英雄,1.0607824581397884
116,11,uzi,1.0349972880901366
116,12,rng,0.9904245053547167
116,13,DNF,0.9257367416929295
116,14,阴阳师,0.9061813379720405
116,15,DN,0.9001673138164966
