topic_id,top_words,top_weight
0,高校 / 专业 / 人工智能 / 复合型 / 人才 / 培养 / 新增 / 考研 / 招生 / 优化 / 结构 / 回落,0.537802497397581
1,公布 / 评价 / 素质 / 综合 / 强化 / 中考 / 改革方案 / 青年 / 入围 / 导演 / 名单 / 作品,0.49192518167941884
2,恢复 / 马拉松赛 / 参赛 / 近年 / 报名 / 人数 / 零售 / 餐饮 / 带动 / 客流 / 商圈 / 回升,0.4661143056092088
3,板块 / 活跃 / 股三大 / 表现 / 午后 / 拉升 / 指数 / 新能源 / 引援 / 开赛 / 多支 / 完成,0.4531377570734353
4,首周 / 热门 / 票房 / 突破 / 电影 / 亿元 / 上映 / 球队 / 引援 / 开赛 / 周末 / 中超联赛,0.4971855492094259
5,高效 / 降低 / 算法 / 研究 / 推理 / 成本 / 提出 / 文本检索 / 团队 / 智能 / 搭载 / 升级,0.32651501658100623
6,热身赛 / 外线 / 命中率 / 女篮 / 对手 / 显著 / 大胜 / 模态 / 国产 / 增强 / 模型 / 理解能力,0.4742959441348786
7,采用 / 沉浸 / 线上 / 虚拟 / 演唱会 / 技术 / 制作 / 释放 / 央行 / 宣布 / 下调 / 准备金率,0.34512407201485856
