,precision,recall,f1-score,support
体育,1.0,0.5,0.6666666666666666,2.0
娱乐,0.16666666666666666,1.0,0.2857142857142857,1.0
教育,0.0,0.0,0.0,2.0
科技,1.0,0.5,0.6666666666666666,2.0
财经,1.0,0.5,0.6666666666666666,2.0
accuracy,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.4444444444444444
macro avg,0.6333333333333334,0.5,0.45714285714285713,9.0
weighted avg,0.6851851851851851,0.4444444444444444,0.47619047619047616,9.0
