,100,101,102,103,104,106,107,108,109,110,112,113,115,116
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0
101,0,0,0,0,0,0,0,0,1,0,0,0,0,1
102,0,0,0,0,0,0,0,0,1,0,0,1,0,0
103,0,0,0,0,0,0,0,0,1,0,0,0,0,0
104,0,1,1,0,0,0,0,0,1,0,1,0,0,0
106,0,0,0,1,0,0,1,1,2,0,0,0,0,0
107,0,0,1,1,0,0,0,1,1,0,0,0,0,1
108,0,0,0,0,1,0,0,2,1,0,0,0,0,0
109,0,0,0,1,0,0,0,1,0,2,0,0,1,1
110,0,0,0,0,0,0,0,0,1,0,0,1,0,0
112,0,0,1,0,0,0,0,1,1,0,0,0,0,0
113,0,0,0,0,0,0,0,1,1,0,0,0,0,0
115,0,0,0,0,0,0,0,1,2,0,0,0,0,0
116,0,0,0,0,1,0,0,0,0,0,0,0,0,0
