label,rank,feature,weight
100,1,家庄,1.5663983545833051
100,2,成精,1.5649918699380598
100,3,救驾,1.5582256067925668
100,4,三尺,1.5436617645284951
100,5, 我,1.4888952496465149
100,6,婆婆,1.4014098716759102
100,7,你一,1.345425050192795
100,8,离了,1.3134099148720237
100,9,嫁人,1.2524824060949258
100,10,占便宜,1.2393187075958318
100,11,才能 遇到,1.1735011927883956
100,12,的黄,1.1733024257983518
100,13,就买,1.1445319989474507
100,14,楼上,1.1318719275601623
100,15,故事,1.1286208807397329
101,1,书法,1.3609823465260857
101,2,书法,1.3240785862118793
101,3,诗词,1.3220318472828518
101,4,青花,1.2583667966399024
101,5,上联,1.1727597099486193
101,6,小说,1.152755084980273
101,7,传统,1.1509309661752674
101,8,么对,1.1230974877408237
101,9,句 ,1.0914694829318095
101,10,国画,1.0821213629317503
101,11,艺术,1.0761522364772818
101,12,油画,1.0611965032247466
101,13,画家,1.0593971602411003
101,14,书 ,1.0321345554218557
101,15,诗词,1.0314363603923986
102,1,女星,1.3570058777220295
102,2,导演,1.3165531522154426
102,3,赵丽颖,1.3006365701055533
102,4,胡歌,1.233576285512502
102,5,跑男,1.231255578001258
102,6,杨幂,1.18813695970291
102,7,导演,1.1864927197456836
102,8,演员,1.1847572835393123
102,9,张檬,1.1739197052197397
102,10,戛纳,1.1549653462425267
102,11,C位,1.1314683425864691
102,12,曲 ,1.1126915246150058
102,13,王菲,1.108983505081454
102,14,唐嫣,1.1067507072738556
102,15,谢娜,1.0950361936068016
103,1,nba,1.830270435282525
103,2,球迷,1.7930226433954273
103,3,中超,1.6342701923698595
103,4,哈登,1.5950621802890117
103,5,火箭,1.5448848218788205
103,6,球员,1.5003922102048348
103,7,恒大,1.4902940019180728
103,8,世界杯,1.4652672598269199
103,9,赛季,1.455027607743345
103,10,皇马,1.4301597212808541
103,11,联赛,1.4101585310190727
103,12,国足,1.4038886489853872
103,13,科比,1.3922904657839694
103,14,国乒,1.3595044611008167
103,15,詹姆斯,1.3498535282270736
104,1,价格,1.3571818387185544
104,2,国债,1.1628489747914315
104,3,交易,1.1379231164796375
104,4,黄金,1.1113049567214193
104,5,股民,1.0973037386667412
104,6,银行,1.0622945649242401
104,7,现金,1.0001359240081138
104,8,经济,0.9848507184795555
104,9,化工,0.9658769331061808
104,10,市值,0.9505030623923715
104,11,股市,0.9341488908230471
104,12,钢厂,0.9217708809169506
104,13,创业项目,0.9199592964137945
104,14,不会 影响,0.9191881192542172
104,15,生意,0.9126368858936577
106,1,房价,2.2366445952380056
106,2,买房,2.1877500820871756
106,3,房价,2.03087595426609
106,4,买房,1.9617695113293205
106,5,二手房,1.7365994778344949
106,6,房子,1.7237233222598194
106,7,楼市,1.6524869634971324
106,8,楼盘,1.5996969428649883
106,9,房 ,1.5799278970995738
106,10,房产,1.467395729164365
106,11,房产,1.3815331706924505
106,12,户型,1.3780832145051478
106,13,置业,1.3619995125375526
106,14,融创,1.3377934511195755
106,15,租房,1.2799852256262922
107,1,的车,2.178267214304583
107,2,汽车,2.0141132269242306
107,3,新车,1.7740032974743203
107,4,汽车,1.6730732439512033
107,5,车的,1.6657631411495646
107,6,车型,1.4422692115557774
107,7,车是,1.4404829760606208
107,8,开车,1.42601968335108
107,9,奥迪,1.4004268377957707
107,10,爱车,1.3743335924467364
107,11,豪车,1.3485229858087429
107,12,车主,1.281523514527962
107,13,suv,1.2621243998612781
107,14,车牌,1.262048307464913
107,15,买车,1.2481435530689553
108,1,大学,2.300901809306698
108,2,高考,2.0581280948201144
108,3,教育,1.931237870891289
108,4,考研,1.7173228077305591
108,5,中考,1.543869099290658
108,6,小学,1.4955311385403218
108,7,数学,1.4742661385900266
108,8,高考,1.4579201188330675
108,9,招生,1.4037125908964454
108,10,学校,1.3892136382352287
108,11,老师,1.3688746440053177
108,12,家长,1.3604679124959316
108,13,考试,1.3443601514422099
108,14,留学,1.3244779458694187
108,15,家长,1.3042398947708198
109,1,手机,2.1857986981817503
109,2,手机,1.6809412736733085
109,3,微信,1.676503020752282
109,4,小米,1.539701348811518
109,5,华为,1.3458563163464217
109,6,微软,1.2722086860330344
109,7,京东,1.2550050969982869
109,8,qq,1.2260460869063659
109,9,联想,1.2223242687701783
109,10,马云,1.1926154859606075
109,11,机器人,1.1850514286673837
109,12,5g,1.1052568878713993
109,13,苹果,1.1015192521167985
109,14,流量,1.0953055970441845
109,15,高通,1.0607985411438183
110,1,航母,1.9109610936451376
110,2,部队,1.5999870462608101
110,3,武器,1.5874193981353066
110,4,歼1,1.5865317832786705
110,5,导弹,1.3649931734939633
110,6,军事,1.3331428740440023
