,100,101,102,103,104,106,107,108,109,110,112,113,114,115,116
100,103,25,25,5,3,5,1,10,4,4,8,5,0,14,3
101,17,395,55,16,24,6,12,46,15,22,59,25,1,34,9
102,36,68,517,44,17,11,14,29,30,20,24,41,1,21,37
103,6,13,54,543,9,4,14,14,14,14,16,22,1,9,34
104,5,15,13,16,410,52,24,35,202,15,24,54,19,61,11
106,3,4,11,2,39,240,6,9,12,4,22,7,1,16,2
107,13,15,25,8,30,13,510,9,63,16,35,30,1,12,11
108,12,33,26,18,21,15,9,401,23,12,21,15,0,27,13
109,8,20,27,14,167,22,54,57,563,29,19,23,4,25,57
110,7,25,32,10,11,3,26,21,22,363,15,147,1,15,18
112,13,56,31,14,26,30,25,22,16,13,344,51,0,42,10
113,13,27,53,16,38,17,20,21,23,161,56,423,0,23,14
114,0,0,0,0,20,0,2,0,5,0,1,0,16,0,1
115,15,27,11,4,35,18,11,17,17,7,45,14,0,269,4
116,6,14,48,29,9,1,14,13,38,26,14,12,0,6,429
