,100,101,102,103,104,106,107,108,109,110,112,113,114,115,116
100,121,13,30,5,0,3,1,10,4,4,5,4,0,14,1
101,36,348,75,13,17,7,10,52,11,30,78,19,1,35,4
102,75,65,511,47,13,13,14,35,26,14,22,25,2,21,27
103,15,19,63,522,12,8,18,13,11,17,17,14,1,9,28
104,11,15,18,15,413,55,23,31,155,18,31,55,43,61,12
106,5,5,6,2,40,245,9,11,7,3,17,7,4,16,1
107,21,18,34,9,37,15,481,15,48,14,45,26,2,14,12
108,21,31,29,19,20,17,14,394,17,18,25,9,2,21,9
109,12,20,25,5,172,27,74,72,499,37,21,22,9,33,61
110,12,22,41,12,10,3,25,18,16,378,17,132,2,10,18
112,26,46,38,16,21,32,27,22,12,12,356,46,0,34,5
113,24,23,52,15,33,19,18,22,19,184,60,400,0,22,14
114,1,0,0,1,17,0,0,1,2,0,0,0,23,0,0
115,26,27,19,2,35,23,8,15,15,5,50,12,1,252,4
116,10,18,52,32,14,2,15,13,32,26,17,8,0,6,414
