label,rank,feature,weight
106,4,房地产,5.8086769526381445
106,5,二手房,5.736796325281936
106,6,房产,5.510015959992063
106,7,城市,5.127493324800888
106,8,楼市,5.12046991689789
106,9,楼盘,4.8346210194077
106,10,租房,4.451883648837698
106,11,土地,4.277420915018971
106,12,户型,3.8349247175996646
106,13,买房子,3.8053877506865827
106,14,套房,3.734684475046959
106,15,首付,3.6867139514952365
107,1,汽车,8.433879858653862
107,2,suv,6.072316067686221
107,3,开车,5.242676100106841
107,4,新车,4.818065528324753
107,5,滴滴,4.6249260910977465
107,6,司机,4.555854079817336
107,7,奥迪,4.41719247072072
107,8,豪车,4.4165014678542756
107,9,车主,4.389829164066563
107,10,奔驰,4.210545319420836
107,11,宝马,4.208282496434881
107,12,大众,4.192572853833264
107,13,买车,3.9939128017058163
107,14,房车,3.9827709001266447
107,15,摩托车,3.96932701306422
108,1,高考,6.906604767509976
108,2,教育,6.182273575063872
108,3,大学,6.175869564009116
108,4,学生,5.72251977902411
108,5,学校,5.432128662946017
108,6,家长,4.919694267421822
108,7,老师,4.7122045761395785
108,8,英语,4.644868509802981
108,9,考试,4.625356072299405
108,10,孩子,4.61607715260999
108,11,小学,4.613335916016353
108,12,教师,4.549214996125103
108,13,学习,4.43728240800731
108,14,数学,4.294844822370981
108,15,中学,4.267838024104249
109,1,手机,7.750396962044412
109,2,小米,5.914749462087559
109,3,联想,5.239418218735042
109,4,区块,5.005992547170301
109,5,滴滴,4.62652186456338
109,6,微信,4.576562763091075
109,7,华为,4.475943965131192
109,8,苹果,4.362305372181755
109,9,支付宝,4.33916707949617
109,10,京东,4.099241711991722
109,11,腾讯,4.063940842742454
109,12,马云,4.017334181886483
109,13,余额,3.902822034038617
109,14,企业,3.8851936357595487
109,15,创业,3.856804597489848
110,1,美国,7.070820279874139
110,2,航母,6.167984229248353
110,3,俄罗斯,5.499469662988106
110,4,美军,5.116091393054679
110,5,战机,4.7652105726065015
110,6,以色列,4.746337974237533
110,7,武器,4.741225997963269
110,8,军事,4.318205243080097
110,9,部队,4.195823529637587
110,10,叙利亚,4.1571461988570935
110,11,日本,4.142332782569568
110,12,战争,4.123183819677818
110,13,二战,4.0145676141986835
110,14,战斗机,3.989708723902105
110,15,飞机,3.973789658724739
112,1,旅游,7.598175623894687
112,2,旅行,5.787587309005743
112,3,景区,4.381330949736868
112,4,游客,4.025733829573408
112,5,景点,3.8994480774214892
112,6,三亚,3.8614670787551884
112,7,西藏,3.673686989221118
112,8,酒店,3.570589004657215
112,9,地方,3.531183124953697
112,10,美景,3.1966956574087853
112,11,户外,3.087508870043735
112,12,之旅,3.0569113609130953
112,13,自驾游,2.987519066368508
112,14,门票,2.9557960396213807
112,15,小镇,2.9138782725121017
113,1,美国,7.9559753200914365
113,2,俄罗斯,6.279768513337178
113,3,日本,5.473559857188027
113,4,特朗普,5.459402215163817
113,5,伊朗,5.19516588217813
113,6,普京,5.159204159096331
113,7,以色列,4.702627192140562
113,8,泰国,4.458627985533959
113,9,印度,4.431828272144398
113,10,总统,4.092705785337
113,11,叙利亚,4.039758553184136
113,12,国家,3.9182427079523228
113,13,韩国,3.897773054490289
113,14,朴槿惠,3.528563693608805
113,15,越南,3.3629148136318276
114,1,股票,10.353343799158607
114,2,股市,7.203673969316709
114,3,上市公司,6.489089527671976
114,4,业绩,5.339506665882083
114,5,炒股,5.296652971137091
114,6,上市,5.252613166422922
114,7,大盘,5.1546075671974165
114,8,医药,4.885981899456659
114,9,公司,4.713500532113535
114,10,反转,4.584765960035404
